GenNHS_ID	GenNHS_Code_Key	GenNHS_Name	OverrideGenNHS_Name	ChemistListPrice_Amt	MoleculeGroup_Name	GenNhsSubGroup_Name	GenNhsSubGroup_ID	EffectiveFromCalendarPeriod_Number	EffectiveToCalendarPeriod_Number	AuditJob_ID	AuditCreate_Date	AuditUpdate_Date	AuditModify_Flag	AuditSource_Code	OverrideGenNHS_Code_Description
912	CHL4	CHLORPROMAZINE	NULL	7.00		CHLORPROMAZINE	331	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
913	CHL8	CHLORPROPAMIDE	NULL	7.41		CHLORPROPAMIDE	332	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
5256	CHLO10	CHLORAL HYDRATE	NULL	NULL		CHLORAL HYDRATE	1884	NULL	NULL	6457911	2014-12-01 00:00:00.000	2014-12-02 19:32:58.510	U	DW	NULL
914	CHLO3	CHLORAMPHENICOL	NULL	458.24		CHLORAMPHENICOL	322	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
915	CHLO5	CHLORAMPHENICOL	NULL	231.30		CHLORAMPHENICOL	322	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
916	CHLO6	CHLORHEXIDINE GLUCONATE	NULL	7.7043		CHLORHEXIDINE GLUCONATE	326	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
917	CHO1	CHLORAMPHENICOL	NULL	4.0261	CHLORAMPHENICOL	CHLORAMPHENICOL	322	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
918	CHO2	CHLORAMPHENICOL	NULL	3.9826	CHLORAMPHENICOL	CHLORAMPHENICOL	322	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
919	CHO3	CHLORAMPHENICOL	NULL	2.9043	CHLORAMPHENICOL	CHLORAMPHENICOL	322	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
920	CHO9	CHOLESTYRAMINE	NULL	29.7818	CHOLESTYRAMINE	CHOLESTYRAMINE	339	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
921	CHOL1	CHOLINE THEO	NULL	8.8076		CHOLINE THEO	340	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
922	CHOL2	CHOLERA RECOM LIVE ORAL	NULL	25.88		CHOLERA RECOM LIVE ORAL	338	NULL	NULL	5700648	2011-04-09 00:00:00.000	2014-07-25 11:44:38.833	U	DW	NULL
